date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:44	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225ade8d50-10f%22	https://berkahbesibaja.neocities.org/robots.txt		(from )
10:59:45	97533/97533	---MCZ	200	added ('OK')	text/html	etag:W/%225ade8e22-17cfd%22	https://berkahbesibaja.neocities.org/	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/index.html	(from )
10:59:46	30385/30385	---M--	200	added ('OK')	image/jpeg	etag:%225adea067-76b1%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Steel-Grating.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Steel-Grating.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:47	43065/43065	---M--	200	added ('OK')	image/jpeg	etag:%225adea04b-a839%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/bronjong-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/bronjong-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:48	28859/28859	---M--	200	added ('OK')	image/jpeg	etag:%225adea03d-70bb%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/besi-wf-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/besi-wf-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:49	36973/36973	---M--	200	added ('OK')	image/jpeg	etag:%225adea051-906d%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/expanded-metal-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/expanded-metal-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:50	29040/29040	---M--	200	added ('OK')	image/jpeg	etag:%225adea062-7170%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Plat-Hitam-Kapal-Bordes-Strip-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Plat-Hitam-Kapal-Bordes-Strip-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:51	45385/45385	---M--	200	added ('OK')	image/jpeg	etag:%225adea03a-b149%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Besi-Beton-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Besi-Beton-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:52	34548/34548	---M--	200	added ('OK')	image/jpeg	etag:%225adea065-86f4%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Seng-Gelombang-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Seng-Gelombang-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:53	62288/62288	---M--	200	added ('OK')	image/jpeg	etag:%225adea02d-f350%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/04/Besi-Assental.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/04/Besi-Assental.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:54	20739/20739	---M--	200	added ('OK')	image/jpeg	etag:%225adea063-5103%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Plat-Seng-Dan-Plat-Galvalum-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Plat-Seng-Dan-Plat-Galvalum-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:55	46476/46476	---M--	200	added ('OK')	image/jpeg	etag:%225adea06b-b58c%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Wire-Mesh-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Wire-Mesh-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:57	36105/36105	---M--	200	added ('OK')	image/jpeg	etag:%225adea034-8d09%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/04/Pipa-Schedule.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/04/Pipa-Schedule.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:57	47578/47578	---M--	200	added ('OK')	image/jpeg	etag:%225adea05c-b9da%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/pagar-brc-3-1200x480-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/pagar-brc-3-1200x480-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:58	39304/39304	---M--	200	added ('OK')	image/jpeg	etag:%225adea059-9988%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Kawat-Loket-Kawat-Harmonika-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Kawat-Loket-Kawat-Harmonika-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
10:59:59	30612/30612	---M--	200	added ('OK')	image/jpeg	etag:%225adea04c-7794%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Cnp-Unp-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Cnp-Unp-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
11:00:00	22733/22733	---M--	200	added ('OK')	image/jpeg	etag:%225adea03b-58cd%22	https://berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Besi-Siku-538x280.jpg	E:/c/HTML/berkahbesibaja.neocities.org/berkahbesibaja.neocities.org/wp-content/uploads/2018/02/Besi-Siku-538x280.jpg	(from https://berkahbesibaja.neocities.org/)
